symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
SQ,SAHAKOL EQUIPMENT PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,19.23,,4.59,0.51,0.26,298781600.0
SR,SIAMRAJ PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,36.36,,-8.89,,0.33,223311000.0
SRICHA,SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NO,15.65,0.0,52.18,0.0,-100.0,2.98,,-11.53,15.11,21.8,6755362200.0
SRS,SIRISOFT PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,YES,YES,YES,NA,30.0,0.0,100.0,0.0,,10.31,,31.32,,1.88,300800000.0
SSF,SURAPON FOODS PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,60.0,0.0,100.0,100.0,-32.09,7.26,1.74,6.21,11.13,5.1,1376994900.0
SSP,SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-24.41,8.88,,9.09,5.87,3.66,4570701835.08
SSSC,SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,YES,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-4.58,7.71,,7.29,7.8,2.14,1369595463.2
SST,SUB SRI THAI PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,5.1,0.0,16.99,0.0,,0.97,,-3.09,,1.03,542250246.5
STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,13.12,0.0,43.75,0.0,-100.0,2.5,,-0.04,10.96,20.0,30719999960.0
STANLY,THAI STANLEY ELECTRIC PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-3.0,9.05,,7.69,8.66,221.0,16934125000.0
STARM,STAR MONEY PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,YES,NO,NO,NO,NO,YES,29.97,0.0,99.9,0.0,,6.99,,6.65,10.76,0.83,913000000.0
STC,STC CONCRETE PRODUCT PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,YES,NO,NO,NO,61.6,100.0,31.25,40.75,69.33,1.79,0.815,2.25,42.7,0.56,318080000.0
STECH,SIAM TECHNIC CONCRETE PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,NO,YES,YES,NO,NO,YES,42.62,28.65,69.31,34.57,7.45,3.96,0.691,8.6,5.15,1.01,732250000.0
STECON,STECON GROUP PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,YES,NA,NO,NA,NO,21.18,0.0,70.6,0.0,,4.06,,0.3,16.19,13.4,20355674586.2
STELLA,STELLA X PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,,,,-13.38,,0.22,4792312528.74
STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,30.0,0.0,100.0,0.0,-100.0,26.92,,0.92,22.92,11.7,33522604947.0
STI,STONEHENGE INTER PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,YES,YES,NO,NO,8.22,0.0,27.41,0.0,-27.29,1.57,,12.72,20.11,1.66,1000975151.14
STOWER,SKY TOWER PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NA,0.0,0.0,0.0,0.0,,,,-13.89,,0.02,81247506.5
STP,SAHATHAI PRINTING & PACKAGING PUBLIC COMPANY LIMITED,-,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,40.69,28.28,93.81,4.14,7.35,6.38,0.083,19.51,6.34,10.5,1050000000.0
STPI,STP&I PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,YES,YES,NA,NO,NO,YES,6.7,0.0,22.34,0.0,-34.27,1.28,,0.62,4.18,4.7,8517680218.9
